title,link,date,price,housing,housing_category,city_area,housing_type,housing_state,living_area,land_area,price_per_meter,ad_id,lat,long
"2 izb. Byt v osobnom vlastníctve - Aténska ul., 5 posch., lodžia, 52 m2",https://www.nehnutelnosti.sk/5055114/2-izb-byt-v-osobnom-vlastnictve-atenska-ul-5-posch-lodzia-52-m2/,31.03.2023,121500,Byty,2 izbový byt,Košice I - Sídlisko Ťahanovce,Predaj,Pôvodný stav,52,0,2336.54,5055114,48.758589,21.263942
"4 izb. byt pri Novej Nemocnici, 3.posch., lodžia, výťah, kumbál",https://www.nehnutelnosti.sk/5055771/4-izb-byt-pri-novej-nemocnici-3-posch-lodzia-vytah-kumbal/,31.03.2023,159900,Byty,4 izbový byt,Košice II - Západ,Predaj,Pôvodný stav,72,0,2220.83,5055771,48.72193,21.231879
"4-izb byt, NOVOSTAVBA Fatranská, Nová Terasa, Košice",https://www.nehnutelnosti.sk/5002313/4-izb-byt-novostavba-fatranska-nova-terasa-kosice/,31.03.2023,369000,Byty,4 izbový byt,Košice II - Západ,Predaj,Novostavba,102,0,3617.65,5002313,48.72380531,21.24013833
"nadštandardný 1,5-izb pražský byt, 47m2 + loggia Inžinierska Terasa",https://www.nehnutelnosti.sk/5048783/nadstandardny-1-5-izb-prazsky-byt-47m2-loggia-inzinierska-terasa/,31.03.2023,132500,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,47,0,2819.15,5048783,48.7168449,21.2391936
"Arvin & Benet | Slnečný, stavebný pozemok so všetkými inžinierskymi sieťami 20 min. od centra Košíc",https://www.nehnutelnosti.sk/5039704/arvin-benet-slnecny-stavebny-pozemok-so-vsetkymi-inzinierskymi-sietami-20-min-od-centra-kosic/,31.03.2023,250000,Pozemky,Pozemok pre rod. domy,Košice IV - Krásna,Predaj,,0, 692,361.27,5039704,48.6667244,21.3185852
PONÚKAME 3 izbový investičný byt na sídlisku Terasa o rozlohe 59 m2 s lodžiou,https://www.nehnutelnosti.sk/5046695/ponukame-3-izbovy-investicny-byt-na-sidlisku-terasa-o-rozlohe-59-m2-s-lodziou/,31.03.2023,123000,Byty,3 izbový byt,Košice II - Západ,Predaj,Pôvodný stav,59,0,2084.75,5046695,48.7143059,21.2345867
Na predaj 2 izbový byt po kompletnej rekonštrukcii v tichej lokalite pri OC Galéria.,https://www.nehnutelnosti.sk/4998532/na-predaj-2-izbovy-byt-po-kompletnej-rekonstrukcii-v-tichej-lokalite-pri-oc-galeria/,31.03.2023,133980,Byty,2 izbový byt,Košice II - Západ,Predaj,Kompletná rekonštrukcia,51,0,2627.06,4998532,48.7143059,21.2345867
Na predaj 3 izbový byt na sídlisku Dargovských hrdinov.,https://www.nehnutelnosti.sk/5037841/na-predaj-3-izbovy-byt-na-sidlisku-dargovskych-hrdinov/,31.03.2023,144990,Byty,3 izbový byt,Košice III - Dargovských Hrdinov,Predaj,Čiastočná rekonštrukcia,71,0,2042.11,5037841,48.744236,21.2771435
So súhlasom majiteľa ponúkame 3 izbový byt pre rodinu o výmere 60 m2 s lodžiou na 8/10 poschodí vo v,https://www.nehnutelnosti.sk/5042420/so-suhlasom-majitela-ponukame-3-izbovy-byt-pre-rodinu-o-vymere-60-m2-s-lodziou-na-8-10-poschodi-vo-v/,31.03.2023,132000,Byty,3 izbový byt,Košice II - Západ,Predaj,Čiastočná rekonštrukcia,60,0,2200,5042420,48.7143059,21.2345867
"Na predaj 1 izbový byt v mestskej časti Nad Jazerom, po kompletnej rekonštrukcii s dvoma loggiami.",https://www.nehnutelnosti.sk/4998533/na-predaj-1-izbovy-byt-v-mestskej-casti-nad-jazerom-po-kompletnej-rekonstrukcii-s-dvoma-loggiami/,31.03.2023,102990,Byty,1 izbový byt,Košice IV - Nad jazerom,Predaj,Kompletná rekonštrukcia,42,0,2452.14,4998533,48.6893387,21.2844601
